charged off,current,fully paid
13.997187779624184,1.8662917039498912,84.13652051642593
12.921604375569737,2.2105742935278028,84.86782133090246
13.553113553113553,2.0268620268620268,84.42002442002442
13.445867287543656,2.7357392316647267,83.81839348079161
13.954905545399146,2.681291895185862,83.36380255941499
13.772992373261554,2.736653207716465,83.49035441902198
14.833615341229557,3.4968979131415683,81.66948674562889
13.725490196078432,2.974983096686951,83.29952670723462
12.559618441971383,2.5437201907790143,84.8966613672496
14.990426849870481,4.403649059578782,80.60592409055074
