iter	Logloss
0	0.6660391885
1	0.6416885764
2	0.6202045228
3	0.5999731393
4	0.5828928006
5	0.5657947484
6	0.5509001372
7	0.5357834824
8	0.5242828167
9	0.5120549852
10	0.5012019208
11	0.4913192316
12	0.4826215794
13	0.4746128015
14	0.4680924935
15	0.4607059564
16	0.4548386549
17	0.4496296108
18	0.4444531067
19	0.4396378114
20	0.4347636134
21	0.4309246285
22	0.4267967529
23	0.4234573036
24	0.4202276381
25	0.4173933191
26	0.4145722979
27	0.4120759978
28	0.4096373536
29	0.4075755668
30	0.4054986524
31	0.4038802217
32	0.4020503232
33	0.4004954295
34	0.3990517944
35	0.3976220293
36	0.3964990495
37	0.3953218922
38	0.3942196122
39	0.3929949014
40	0.3920158891
41	0.3908418462
42	0.389825654
43	0.3890545501
44	0.388120308
45	0.3874049388
46	0.3866269884
47	0.3860558694
48	0.3855108042
49	0.3848773676
50	0.3842305401
51	0.3837256989
52	0.3832237219
53	0.3827604305
54	0.3821988544
55	0.381675194
56	0.3812000381
57	0.3807835081
58	0.3803740058
59	0.3799832242
60	0.3795774387
61	0.3791352665
62	0.3788157444
63	0.3785119709
64	0.378139025
65	0.3778769899
66	0.3776127281
67	0.3772438702
68	0.3769463437
69	0.3766594225
70	0.3764006161
71	0.3761174093
72	0.3759265114
73	0.3756493627
74	0.3754006096
75	0.3751811526
76	0.3749169609
77	0.3747007085
78	0.3745267686
79	0.3743167078
80	0.3740173042
81	0.3738160038
82	0.3735695597
83	0.3733805287
84	0.3731572196
85	0.3729467201
86	0.3727497834
87	0.3725393519
88	0.3723383219
89	0.372187302
90	0.3719857225
91	0.3718250537
92	0.3716454612
93	0.3714842503
94	0.3713033519
95	0.3711450294
96	0.3709769505
97	0.3708097712
98	0.3706865231
99	0.3704962378
100	0.3703252758
101	0.3701175294
102	0.3699563618
103	0.3698031061
104	0.3696708861
105	0.3694975348
106	0.3693587889
107	0.3691665068
108	0.36900184
109	0.3687822666
110	0.3686413828
111	0.3684937642
112	0.3683444622
113	0.3681947325
114	0.3680580896
115	0.3678889221
116	0.3677601312
117	0.3676315215
118	0.3675247605
119	0.3673628134
120	0.3672175728
121	0.367111322
122	0.3669258582
123	0.3666790218
124	0.366548168
125	0.3664056759
126	0.3663042817
127	0.3662002039
128	0.3660512766
129	0.3659471807
130	0.3658078319
131	0.3656728665
132	0.365543653
133	0.3653810459
134	0.3652362798
135	0.3651069809
136	0.364921526
137	0.3647774
138	0.3646497987
139	0.3645167364
140	0.3643629418
141	0.3642480863
142	0.3640727108
143	0.3639588038
144	0.3638413646
145	0.3636808327
146	0.3635690279
147	0.3634388971
148	0.3633398643
149	0.3632329405
150	0.3631578757
151	0.3630252145
152	0.3628851277
153	0.3627795585
154	0.3626498492
155	0.3625389091
156	0.3623665396
157	0.3622548464
158	0.3621244129
159	0.3620097217
160	0.3618562699
161	0.3617471032
162	0.361621298
163	0.3614414751
164	0.3613479794
165	0.3612359821
166	0.3611396508
167	0.3609611109
168	0.3608085859
169	0.3607004916
170	0.3605421507
171	0.3604402835
172	0.3602899329
173	0.3601730631
174	0.3600509186
175	0.3599092056
176	0.3598012436
177	0.3596813713
178	0.3595200672
179	0.3593439507
