iter	Passed	Remaining
0	8	8595
1	16	8209
2	24	8235
3	32	8036
4	39	7822
5	46	7679
6	51	7254
7	57	7162
8	64	7087
9	71	7097
10	78	7058
11	84	6958
12	91	6922
13	98	6910
14	104	6874
15	111	6837
16	117	6780
17	123	6735
18	130	6739
19	137	6721
20	146	6827
21	152	6779
22	159	6763
23	166	6776
24	174	6812
25	181	6783
26	187	6756
27	194	6749
28	201	6747
29	208	6747
30	215	6735
31	222	6727
32	228	6704
33	235	6697
34	240	6640
35	249	6684
36	256	6681
37	263	6668
38	271	6690
39	277	6669
40	283	6635
41	290	6637
42	297	6617
43	305	6629
44	312	6625
45	319	6624
46	325	6597
47	331	6565
48	337	6557
49	344	6539
50	351	6541
51	357	6525
52	363	6500
53	370	6497
54	377	6490
55	385	6495
56	393	6507
57	400	6510
58	406	6485
59	413	6475
60	420	6474
61	424	6427
62	432	6439
63	439	6423
64	445	6411
65	452	6409
66	459	6401
67	466	6398
68	473	6395
69	480	6383
70	488	6396
71	495	6386
72	502	6379
73	508	6360
74	515	6352
75	521	6340
76	527	6318
77	533	6306
78	539	6290
79	545	6278
80	552	6272
81	558	6255
82	565	6247
83	573	6253
84	580	6246
85	586	6236
86	593	6232
87	601	6236
88	607	6218
89	613	6204
90	619	6188
91	625	6169
92	631	6159
93	637	6140
94	642	6123
95	649	6118
96	655	6101
97	662	6093
98	667	6076
99	674	6066
100	680	6061
101	686	6047
102	692	6034
103	699	6025
104	705	6013
105	712	6005
106	717	5990
107	722	5970
108	729	5959
109	735	5948
110	741	5935
111	747	5927
112	754	5918
113	761	5916
114	768	5915
115	774	5905
116	782	5904
117	789	5900
118	793	5876
119	801	5875
120	807	5868
121	815	5865
122	821	5855
123	827	5843
124	833	5834
125	839	5819
126	845	5809
127	851	5799
128	857	5790
129	863	5777
130	868	5763
131	875	5754
132	880	5741
133	887	5737
134	894	5732
135	900	5719
136	906	5707
137	911	5696
138	919	5695
139	926	5688
140	932	5682
141	939	5674
142	946	5669
143	952	5663
144	973	5741
145	987	5778
146	1002	5816
147	1010	5817
148	1017	5812
149	1024	5807
150	1033	5810
151	1040	5805
152	1047	5800
153	1058	5814
154	1066	5812
155	1073	5805
156	1080	5801
157	1088	5799
158	1094	5787
159	1101	5780
160	1107	5771
161	1113	5760
162	1119	5749
163	1125	5735
164	1131	5724
165	1138	5720
166	1145	5712
167	1151	5703
168	1157	5693
169	1166	5692
170	1171	5680
171	1177	5668
172	1184	5661
173	1190	5649
174	1196	5640
175	1203	5632
176	1208	5621
177	1214	5608
178	1221	5601
179	1226	5588
180	1232	5574
181	1239	5569
182	1244	5555
183	1251	5549
184	1257	5540
185	1264	5532
186	1270	5522
187	1275	5509
188	1281	5498
189	1288	5492
190	1294	5481
191	1301	5476
192	1306	5464
193	1313	5455
194	1318	5443
195	1324	5432
196	1330	5422
197	1335	5411
198	1342	5401
199	1348	5394
200	1354	5382
201	1360	5375
202	1366	5365
203	1371	5353
204	1377	5342
205	1384	5334
206	1390	5325
207	1396	5316
208	1402	5308
209	1407	5295
210	1413	5286
211	1419	5276
212	1425	5265
213	1431	5256
214	1436	5246
215	1443	5238
216	1449	5228
217	1454	5218
218	1460	5209
219	1466	5199
220	1472	5189
221	1477	5178
222	1484	5172
223	1490	5163
224	1497	5158
225	1503	5149
226	1509	5141
227	1515	5131
228	1521	5122
229	1527	5114
230	1533	5104
231	1538	5093
232	1546	5091
233	1552	5081
234	1558	5073
235	1565	5068
236	1571	5059
237	1578	5052
238	1583	5042
239	1589	5033
240	1595	5024
241	1602	5018
242	1607	5008
243	1612	4997
244	1618	4986
245	1624	4977
246	1630	4969
247	1635	4959
248	1641	4951
249	1647	4942
250	1654	4937
251	1660	4927
252	1665	4918
253	1672	4911
254	1678	4903
255	1683	4893
256	1689	4885
257	1695	4877
258	1702	4870
259	1709	4864
260	1714	4853
261	1720	4846
262	1726	4839
263	1732	4831
264	1738	4822
265	1744	4813
266	1750	4805
267	1756	4797
268	1762	4788
269	1767	4778
270	1774	4773
271	1780	4766
272	1787	4760
273	1794	4753
274	1800	4747
275	1806	4739
276	1811	4729
277	1817	4720
278	1823	4713
279	1829	4704
280	1835	4696
281	1841	4689
282	1849	4685
283	1855	4678
284	1861	4670
285	1867	4661
286	1872	4652
287	1879	4646
288	1886	4641
289	1892	4634
290	1900	4630
291	1907	4624
292	1913	4617
293	1919	4609
294	1926	4603
295	1932	4596
296	1939	4591
297	1945	4583
298	1952	4576
299	1958	4570
300	1965	4563
301	1972	4559
302	1979	4554
303	1986	4547
304	1992	4541
305	1999	4534
306	2006	4528
307	2012	4522
308	2018	4513
309	2023	4504
310	2030	4497
311	2036	4490
312	2042	4483
313	2049	4476
314	2054	4468
315	2060	4460
316	2067	4453
317	2073	4447
318	2078	4438
319	2085	4431
320	2091	4424
321	2097	4416
322	2103	4408
323	2109	4401
324	2115	4394
325	2121	4385
326	2126	4376
327	2132	4368
328	2138	4361
329	2144	4353
330	2150	4345
331	2155	4337
332	2161	4329
333	2167	4321
334	2174	4316
335	2180	4308
336	2185	4299
337	2191	4291
338	2198	4285
339	2203	4278
340	2210	4272
341	2216	4265
342	2222	4257
343	2228	4250
344	2233	4241
345	2240	4234
346	2245	4225
347	2250	4216
348	2256	4208
349	2262	4201
350	2267	4193
351	2273	4185
352	2279	4178
353	2285	4170
354	2291	4163
355	2297	4156
356	2302	4147
357	2309	4141
358	2315	4133
359	2321	4126
360	2327	4119
361	2333	4113
362	2339	4105
363	2345	4097
364	2351	4090
365	2357	4084
366	2364	4077
367	2370	4070
368	2375	4063
369	2381	4055
370	2387	4047
371	2393	4040
372	2398	4031
373	2405	4026
374	2411	4019
375	2417	4011
376	2423	4004
377	2429	3997
378	2435	3989
379	2441	3983
380	2446	3975
381	2453	3968
382	2458	3960
383	2463	3951
384	2470	3945
385	2476	3939
386	2482	3931
387	2488	3925
388	2494	3917
389	2499	3910
390	2506	3903
391	2511	3895
392	2517	3889
393	2523	3881
394	2529	3874
395	2536	3868
396	2541	3860
397	2547	3852
398	2553	3845
399	2558	3837
400	2564	3830
401	2569	3823
402	2575	3815
403	2581	3809
404	2587	3801
405	2593	3794
406	2599	3787
407	2605	3780
408	2611	3773
409	2617	3766
410	2623	3759
411	2629	3753
412	2635	3746
413	2641	3738
414	2647	3731
415	2653	3724
416	2658	3717
417	2664	3710
418	2670	3702
419	2675	3694
420	2681	3687
421	2686	3680
422	2692	3672
423	2700	3668
424	2706	3661
425	2711	3653
