iter	Passed	Remaining
426	2719	3649
427	2725	3642
428	2731	3635
429	2738	3630
430	2744	3623
431	2750	3616
432	2756	3608
433	2761	3601
434	2767	3593
435	2773	3587
436	2778	3580
437	2784	3573
438	2790	3566
439	2796	3559
440	2802	3552
441	2809	3546
442	2815	3540
443	2821	3533
444	2827	3526
445	2833	3519
446	2840	3513
447	2845	3505
448	2852	3500
449	2857	3492
450	2863	3485
451	2868	3478
452	2874	3471
453	2880	3464
454	2886	3457
455	2893	3451
456	2899	3445
457	2906	3439
458	2912	3433
459	2918	3426
460	2924	3419
461	2931	3413
462	2937	3406
463	2943	3399
464	2949	3393
465	2955	3387
466	2962	3380
467	2968	3374
468	2974	3367
469	2979	3360
470	2985	3352
471	2991	3345
472	2997	3339
473	3002	3332
474	3008	3325
475	3014	3318
476	3020	3312
477	3027	3305
478	3032	3298
479	3038	3291
480	3044	3285
481	3050	3278
482	3057	3272
483	3062	3264
484	3067	3256
485	3072	3249
486	3078	3242
487	3084	3235
488	3090	3229
489	3095	3222
490	3103	3217
491	3108	3209
492	3114	3202
493	3119	3195
494	3125	3188
495	3131	3182
496	3137	3175
497	3143	3169
498	3150	3162
499	3156	3156
500	3162	3149
501	3167	3142
502	3173	3135
503	3179	3128
504	3184	3121
505	3190	3114
506	3195	3107
507	3201	3100
508	3207	3094
509	3213	3087
510	3219	3081
511	3225	3074
512	3230	3066
513	3237	3061
514	3243	3054
515	3249	3048
516	3256	3042
517	3263	3036
518	3268	3029
519	3275	3023
520	3282	3017
521	3288	3011
522	3294	3004
523	3301	2998
524	3307	2992
525	3313	2986
526	3320	2980
527	3327	2974
528	3333	2967
529	3340	2962
530	3348	2957
531	3356	2952
532	3362	2946
533	3369	2940
534	3376	2934
535	3382	2928
536	3388	2921
537	3394	2915
538	3402	2910
539	3409	2904
540	3415	2898
541	3422	2892
542	3428	2885
543	3434	2878
544	3440	2872
545	3447	2866
546	3455	2861
547	3462	2855
548	3467	2848
549	3472	2841
550	3478	2834
551	3485	2828
552	3491	2822
553	3497	2815
554	3503	2809
555	3509	2802
556	3515	2796
557	3521	2789
558	3526	2781
559	3531	2775
560	3538	2768
561	3543	2761
562	3548	2754
563	3554	2748
564	3561	2742
565	3567	2735
566	3572	2728
567	3578	2721
568	3584	2714
569	3591	2709
570	3596	2701
571	3601	2694
572	3607	2688
573	3612	2681
574	3617	2674
575	3622	2666
576	3628	2660
577	3634	2653
578	3640	2646
579	3646	2640
580	3651	2633
581	3658	2627
582	3663	2620
583	3669	2613
584	3675	2607
585	3680	2600
586	3686	2593
587	3692	2587
588	3697	2580
589	3704	2574
590	3709	2567
591	3714	2560
592	3720	2553
593	3726	2547
594	3731	2540
595	3738	2534
596	3744	2527
597	3750	2520
598	3756	2514
599	3761	2507
600	3768	2501
601	3774	2495
602	3780	2488
603	3784	2481
604	3790	2475
605	3797	2468
606	3802	2462
607	3809	2455
608	3815	2449
609	3820	2442
610	3842	2446
611	3848	2439
612	3855	2434
613	3862	2427
614	3867	2421
615	3875	2416
616	3881	2409
617	3888	2403
618	3894	2397
619	3902	2391
620	3910	2386
621	3915	2379
622	3922	2373
623	3928	2367
624	3935	2361
625	3942	2355
626	3949	2349
627	3956	2343
628	3963	2337
629	3971	2332
630	3979	2327
631	3986	2321
632	3993	2315
633	3999	2309
634	4008	2303
635	4016	2299
636	4024	2293
637	4032	2288
638	4040	2282
639	4047	2276
640	4054	2270
641	4061	2264
642	4068	2259
643	4075	2253
644	4083	2247
645	4091	2241
646	4098	2236
647	4105	2229
648	4112	2224
649	4120	2218
650	4126	2212
651	4133	2206
652	4141	2200
653	4146	2193
654	4154	2188
655	4161	2182
656	4168	2176
657	4174	2169
658	4179	2162
659	4187	2156
660	4193	2150
661	4198	2143
662	4204	2137
663	4210	2130
664	4217	2124
665	4222	2117
666	4228	2111
667	4234	2104
668	4240	2098
669	4246	2091
670	4251	2084
671	4256	2077
672	4263	2071
673	4269	2065
674	4276	2058
675	4282	2052
676	4289	2046
677	4297	2040
678	4303	2034
679	4310	2028
680	4315	2021
681	4323	2015
682	4329	2009
683	4334	2002
684	4340	1996
685	4347	1989
686	4353	1983
687	4360	1977
688	4366	1970
689	4372	1964
690	4379	1958
691	4385	1951
692	4391	1945
693	4397	1938
694	4403	1932
695	4410	1926
696	4417	1920
697	4422	1913
698	4429	1907
699	4436	1901
700	4442	1894
701	4448	1888
702	4454	1881
703	4461	1875
704	4468	1869
705	4474	1863
706	4480	1856
707	4486	1850
708	4492	1844
709	4499	1837
710	4505	1831
711	4512	1825
712	4518	1818
713	4524	1812
714	4529	1805
715	4535	1799
716	4541	1792
717	4546	1785
718	4553	1779
719	4559	1773
720	4564	1766
721	4570	1759
722	4576	1753
723	4582	1747
724	4588	1740
725	4594	1733
726	4599	1727
727	4604	1720
728	4611	1714
729	4618	1708
730	4623	1701
731	4629	1694
732	4634	1688
733	4640	1681
734	4647	1675
735	4654	1669
736	4660	1662
737	4667	1656
738	4672	1650
739	4680	1644
740	4686	1637
741	4691	1631
742	4697	1625
743	4703	1618
744	4709	1611
745	4715	1605
746	4721	1599
747	4726	1592
748	4733	1586
749	4739	1579
750	4744	1573
751	4750	1566
752	4756	1560
753	4762	1553
754	4767	1547
755	4773	1540
756	4779	1534
757	4785	1527
758	4791	1521
759	4797	1514
760	4803	1508
761	4809	1502
762	4815	1495
763	4821	1489
764	4827	1482
765	4833	1476
766	4839	1470
767	4844	1463
768	4851	1457
769	4856	1450
770	4861	1443
771	4867	1437
772	4873	1431
773	4880	1424
774	4886	1418
775	4892	1412
776	4898	1405
777	4904	1399
778	4909	1392
779	4915	1386
780	4921	1380
781	4928	1373
782	4935	1367
783	4940	1361
784	4947	1355
785	4953	1348
786	4959	1342
787	4966	1336
788	4971	1329
789	4976	1322
790	4982	1316
791	4989	1310
792	4995	1304
793	5001	1297
794	5008	1291
795	5015	1285
796	5021	1278
797	5028	1272
798	5035	1266
799	5042	1260
800	5048	1254
801	5055	1248
802	5061	1241
803	5067	1235
804	5073	1228
805	5078	1222
806	5084	1215
807	5090	1209
808	5096	1203
809	5101	1196
810	5106	1190
811	5112	1183
812	5117	1177
813	5123	1170
814	5128	1164
815	5133	1157
816	5139	1151
817	5145	1144
818	5150	1138
819	5156	1131
820	5162	1125
821	5167	1119
822	5174	1112
823	5179	1106
824	5186	1100
825	5192	1093
826	5199	1087
827	5204	1081
828	5210	1074
829	5215	1068
830	5221	1061
831	5227	1055
832	5233	1049
833	5239	1042
834	5244	1036
835	5251	1030
836	5256	1023
837	5262	1017
838	5268	1011
839	5274	1004
840	5279	998
841	5286	991
842	5292	985
843	5298	979
844	5304	973
845	5311	966
846	5316	960
847	5322	954
848	5328	947
849	5334	941
850	5339	934
851	5345	928
852	5351	922
853	5357	915
854	5364	909
855	5370	903
856	5375	897
857	5381	890
858	5388	884
859	5395	878
860	5402	872
861	5408	865
862	5415	859
863	5421	853
864	5426	846
865	5434	840
866	5440	834
867	5447	828
868	5454	822
869	5460	815
870	5467	809
871	5473	803
872	5479	797
873	5487	791
874	5493	784
875	5502	778
876	5507	772
877	5513	766
878	5518	759
879	5524	753
880	5529	746
881	5535	740
882	5540	734
883	5546	727
884	5552	721
885	5558	715
886	5564	708
887	5569	702
888	5576	696
889	5582	689
890	5587	683
891	5593	677
892	5599	670
893	5606	664
894	5612	658
895	5617	652
896	5623	645
897	5630	639
898	5635	633
899	5640	626
900	5646	620
901	5651	614
902	5658	607
903	5664	601
904	5670	595
905	5676	588
906	5683	582
907	5688	576
908	5694	570
909	5700	563
910	5706	557
911	5712	551
912	5718	544
913	5723	538
914	5729	532
915	5735	525
916	5741	519
917	5746	513
918	5752	506
919	5758	500
920	5763	494
921	5768	487
922	5774	481
923	5781	475
924	5787	469
925	5793	463
926	5801	456
927	5807	450
928	5812	444
929	5817	437
930	5824	431
931	5831	425
932	5837	419
933	5844	413
934	5850	406
935	5856	400
936	5862	394
937	5869	387
938	5875	381
939	5882	375
940	5889	369
941	5897	363
942	5903	356
943	5910	350
944	5916	344
945	5922	338
946	5928	331
947	5934	325
948	5940	319
949	5945	312
950	5951	306
951	5957	300
952	5963	294
953	5969	287
954	5975	281
955	5980	275
956	5988	269
957	5994	262
958	6001	256
959	6008	250
960	6014	244
961	6021	237
962	6027	231
963	6033	225
964	6038	219
965	6044	212
966	6050	206
967	6055	200
968	6060	193
969	6066	187
970	6072	181
971	6078	175
972	6083	168
973	6089	162
974	6096	156
975	6103	150
976	6111	143
977	6116	137
978	6122	131
979	6129	125
980	6135	118
981	6142	112
982	6149	106
983	6155	100
984	6161	93
985	6168	87
986	6175	81
987	6181	75
988	6187	68
989	6193	62
990	6201	56
991	6207	50
992	6217	43
993	6223	37
994	6231	31
995	6238	25
996	6245	18
997	6252	12
998	6259	6
999	6266	0
